Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
49;29052;"Modern Physics Letters A";journal;"02177323, 17936632";0,490;Q3;88;409;887;17224;2120;881;2,57;42,11;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2020";"Physics and Astronomy (miscellaneous) (Q2); Astronomy and Astrophysics (Q3); Nuclear and High Energy Physics (Q3)"
50;26760;"Astronomy Reports";journal;"10637729, 15626881";0,439;Q3;33;93;308;3721;501;308;1,33;40,01;Russian Federation;Eastern Europe;"Pleiades Publishing";"1996-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
51;27730;"New Astronomy";journal;"13841092, 13841076";0,435;Q3;72;78;284;3915;465;277;1,79;50,19;Netherlands;Western Europe;"Elsevier";"1996-2021";"Instrumentation (Q2); Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
52;13876;"Cosmic Research";journal;"00109525, 16083075";0,399;Q3;22;47;150;1002;124;150;0,71;21,32;Russian Federation;Eastern Europe;"Pleiades Publishing";"1968-1970, 1973-1987, 1996-2020";"Aerospace Engineering (Q2); Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
53;26771;"Astrophysics and Space Science";journal;"0004640X, 1572946X";0,398;Q3;75;183;714;9482;1382;700;2,09;51,81;Netherlands;Western Europe;"Springer Netherlands";"1968-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
54;26748;"Astronomische Nachrichten";journal;"00046337, 15213994";0,394;Q3;63;94;379;3440;505;367;1,08;36,60;Germany;Western Europe;"Wiley-VCH Verlag";"1823-1829, 1831, 1833-1943, 1947-1952, 1955-1957, 1959-1963, 1965-1968, 1970-1972, 1974-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
55;17600155002;"Gravitation and Cosmology";journal;"19950721, 02022893";0,391;Q3;22;45;158;1618;231;158;1,59;35,96;Russian Federation;Eastern Europe;"Pleiades Publishing";"2008-2020";"Astronomy and Astrophysics (Q3)"
56;19700173015;"Astrophysical Bulletin";journal;"19903421, 19903413";0,388;Q3;23;42;142;1662;217;142;1,38;39,57;Russian Federation;Eastern Europe;"Pleiades Publishing";"2009-2020";"Astronomy and Astrophysics (Q3); Instrumentation (Q3)"
57;19700182336;"Advances in Astronomy";journal;"16877977, 16877969";0,364;Q3;34;20;54;754;100;52;1,38;37,70;United States;Northern America;"Hindawi Publishing Corporation";"2010-2020";"Astronomy and Astrophysics (Q3); Space and Planetary Science (Q3)"
58;27181;"Earth, Moon and Planets";journal;"15730794, 01679295";0,355;Q3;41;7;30;318;30;30;1,06;45,43;Netherlands;Western Europe;"Springer Netherlands";"1984-2020";"Astronomy and Astrophysics (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Space and Planetary Science (Q3)"
